,alcohol,babies,bakery,beverages,breakfast,bulk,canned goods,dairy eggs,deli,dry goods pasta,frozen,household,international,meat,pantry,personal care,pets,produce,seafood,snacks
alcohol,35420.0,2994.0,35600.0,86912.0,13421.0,127.0,26596.0,103973.0,23509.0,21970.0,50226.0,36657.0,6823.0,18336.0,50996.0,14200.0,5325.0,97276.0,1002.0,65553.0
babies,2994.0,9286.0,90694.0,140853.0,53943.0,2341.0,74781.0,368165.0,74336.0,76295.0,157486.0,58252.0,16992.0,48108.0,113086.0,37901.0,3711.0,343899.0,3961.0,188280.0
bakery,35600.0,90694.0,208168.0,857979.0,318823.0,13442.0,434873.0,2098830.0,495192.0,421174.0,857834.0,272105.0,116309.0,317339.0,777393.0,161826.0,26991.0,1974701.0,21991.0,1059280.0
beverages,86912.0,140853.0,857979.0,792614.0,505292.0,22291.0,637277.0,3202370.0,706564.0,585557.0,1381499.0,585779.0,173639.0,443058.0,1211896.0,356610.0,58876.0,3155214.0,33927.0,1971631.0
breakfast,13421.0,53943.0,318823.0,505292.0,71889.0,8227.0,226345.0,1145695.0,238990.0,229762.0,476130.0,167467.0,58530.0,147212.0,423105.0,102509.0,14549.0,1029775.0,10722.0,696720.0
bulk,127.0,2341.0,13442.0,22291.0,8227.0,262.0,13441.0,57933.0,13946.0,10674.0,19763.0,4938.0,3747.0,6848.0,23493.0,3829.0,293.0,71539.0,784.0,34071.0
canned goods,26596.0,74781.0,434873.0,637277.0,226345.0,13441.0,217787.0,1620171.0,361938.0,427209.0,705925.0,220771.0,133274.0,291326.0,766851.0,132197.0,22902.0,1838222.0,19799.0,774916.0
dairy eggs,103973.0,368165.0,2098830.0,3202370.0,1145695.0,57933.0,1620171.0,3402825.0,1699775.0,1505434.0,3021649.0,935362.0,413761.0,1132355.0,2881012.0,570843.0,86996.0,8068472.0,90815.0,3806240.0
deli,23509.0,74336.0,495192.0,706564.0,238990.0,13946.0,361938.0,1699775.0,149531.0,337330.0,724068.0,187935.0,104326.0,248892.0,615744.0,125681.0,19597.0,1784369.0,21172.0,945494.0
dry goods pasta,21970.0,76295.0,421174.0,585557.0,229762.0,10674.0,427209.0,1505434.0,337330.0,185017.0,693158.0,205286.0,104838.0,264131.0,627813.0,120873.0,19430.0,1537888.0,18029.0,742968.0
frozen,50226.0,157486.0,857834.0,1381499.0,476130.0,19763.0,705925.0,3021649.0,724068.0,693158.0,710016.0,429424.0,184839.0,483703.0,1194816.0,279971.0,48574.0,3051244.0,33249.0,1716971.0
household,36657.0,58252.0,272105.0,585779.0,167467.0,4938.0,220771.0,935362.0,187935.0,205286.0,429424.0,202493.0,56373.0,140624.0,453393.0,216952.0,33307.0,870465.0,9567.0,561042.0
international,6823.0,16992.0,116309.0,173639.0,58530.0,3747.0,133274.0,413761.0,104326.0,104838.0,184839.0,56373.0,8900.0,73748.0,213877.0,35828.0,5482.0,472969.0,5552.0,219250.0
meat,18336.0,48108.0,317339.0,443058.0,147212.0,6848.0,291326.0,1132355.0,248892.0,264131.0,483703.0,140624.0,73748.0,78670.0,467195.0,80804.0,14600.0,1248655.0,16175.0,519411.0
pantry,50996.0,113086.0,777393.0,1211896.0,423105.0,23493.0,766851.0,2881012.0,615744.0,627813.0,1194816.0,453393.0,213877.0,467195.0,661328.0,266509.0,38420.0,3049528.0,33497.0,1471006.0
personal care,14200.0,37901.0,161826.0,356610.0,102509.0,3829.0,132197.0,570843.0,125681.0,120873.0,279971.0,216952.0,35828.0,80804.0,266509.0,96348.0,18475.0,557581.0,5743.0,361086.0
pets,5325.0,3711.0,26991.0,58876.0,14549.0,293.0,22902.0,86996.0,19597.0,19430.0,48574.0,33307.0,5482.0,14600.0,38420.0,18475.0,1371.0,76194.0,810.0,52629.0
produce,97276.0,343899.0,1974701.0,3155214.0,1029775.0,71539.0,1838222.0,8068472.0,1784369.0,1537888.0,3051244.0,870465.0,472969.0,1248655.0,3049528.0,557581.0,76194.0,3582638.0,111597.0,3726005.0
seafood,1002.0,3961.0,21991.0,33927.0,10722.0,784.0,19799.0,90815.0,21172.0,18029.0,33249.0,9567.0,5552.0,16175.0,33497.0,5743.0,810.0,111597.0,471.0,38226.0
snacks,65553.0,188280.0,1059280.0,1971631.0,696720.0,34071.0,774916.0,3806240.0,945494.0,742968.0,1716971.0,561042.0,219250.0,519411.0,1471006.0,361086.0,52629.0,3726005.0,38226.0,1241132.0
